ID,Type,SKU,Name,Published,Featured,Catalog visibility,Short description,Description,Tax status,Tax class,In stock?,Stock,Backorders allowed?,Sold individually?,Weight (kg),Sale price,Regular price,Categories,Tags,Position
,simple,VIB-001,Velvet Touch Vibrator | 丝绒触感震动棒,1,0,visible,Premium silicone vibrating massager | 高级硅胶震动按摩棒,10 vibration modes waterproof USB rechargeable,taxable,,1,99,0,0,0.20,89.00,129.00,Vibrators | 震动器,vib-001,0
,simple,VIB-002,Rose Petal Clitoral Sucker | 玫瑰吮吸器,1,0,visible,Air pulse stimulator | 气压吮吸刺激器,7 suction intensities ultra-quiet,taxable,,1,99,0,0,0.20,149.00,199.00,Vibrators | 震动器,vib-002,1
,simple,VIB-003,Rabbit Dual Vibrator | 兔子双重震动棒,1,0,visible,G-spot and clitoral stimulation | G点阴蒂双重刺激,12 vibration patterns flexible design,taxable,,1,99,0,0,0.20,159.00,219.00,Vibrators | 震动器,vib-003,2
,simple,VIB-004,Wand Massager Pro | 专业棒状按摩器,1,0,visible,Powerful full-body wand | 强力全身按摩棒,3 speed settings flexible head,taxable,,1,99,0,0,0.20,199.00,269.00,Vibrators | 震动器,vib-004,3
,simple,VIB-005,Finger Vibrator Ring | 手指震动环,1,0,visible,Compact finger-worn vibrator | 小巧手指震动器,4 vibration modes waterproof,taxable,,1,99,0,0,0.20,39.00,59.00,Vibrators | 震动器,vib-005,4
,simple,VIB-006,App-Controlled Bullet | APP遥控子弹震动器,1,0,visible,Bluetooth app-controlled | 蓝牙APP遥控,Long-distance control 10 modes,taxable,,1,99,0,0,0.20,119.00,169.00,Vibrators | 震动器,vib-006,5
,simple,VIB-007,G-Spot Curved Vibrator | G点弯曲震动棒,1,0,visible,Precisely angled G-spot stimulation | 精准G点刺激,Ergonomic curve 8 modes,taxable,,1,99,0,0,0.20,109.00,149.00,Vibrators | 震动器,vib-007,6
,simple,VIB-008,Remote Egg Vibrator | 遥控跳蛋,1,0,visible,Wireless remote control egg | 无线遥控跳蛋,12 modes 10m remote range,taxable,,1,99,0,0,0.20,79.00,109.00,Vibrators | 震动器,vib-008,7
,simple,VIB-009,Panty Vibrator Set | 内裤震动器套装,1,0,visible,Wearable panty vibrator | 可穿戴内裤震动器,Discreet wear app control 9 modes,taxable,,1,99,0,0,0.20,139.00,189.00,Vibrators | 震动器,vib-009,8
,simple,VIB-010,Thrusting Vibrator | 抽插震动棒,1,0,visible,Automatic thrusting vibrator | 自动抽插震动棒,3 thrust speeds 7 vibration modes,taxable,,1,99,0,0,0.20,189.00,249.00,Vibrators | 震动器,vib-010,9
,simple,VIB-011,Lipstick Vibrator | 口红震动棒,1,0,visible,Discreet lipstick-shaped | 隐秘口红造型,Portable 7 modes,taxable,,1,99,0,0,0.20,49.00,69.00,Vibrators | 震动器,vib-011,10
,simple,VIB-012,Triple Stimulation Vibrator | 三重刺激震动棒,1,0,visible,G-spot clitoral anal stimulation | 三重刺激,Independent motors each point,taxable,,1,99,0,0,0.20,229.00,299.00,Vibrators | 震动器,vib-012,11
,simple,VIB-013,Heating Vibrator | 加热震动棒,1,0,visible,Body-warming vibrator | 体温加热震动棒,Heats to body temperature 3 min,taxable,,1,99,0,0,0.20,159.00,209.00,Vibrators | 震动器,vib-013,12
,simple,VIB-014,Mini Massager Keychain | 迷你按摩棒,1,0,visible,Ultra-portable keychain vibrator | 超便携钥匙扣,Discreet everyday carry 3 modes,taxable,,1,99,0,0,0.20,29.00,45.00,Vibrators | 震动器,vib-014,13
,simple,VIB-015,Suction Cup Vibrator | 吸盘震动棒,1,0,visible,Hands-free suction cup | 免手持吸盘,Strong suction 10 modes,taxable,,1,99,0,0,0.20,129.00,179.00,Vibrators | 震动器,vib-015,14
,simple,VIB-016,Couples Vibration Ring | 情侣震动环,1,0,visible,Vibrating cock ring for couples | 情侣震动环,Stimulates both partners,taxable,,1,99,0,0,0.20,59.00,89.00,Vibrators | 震动器,vib-016,15
,simple,VIB-017,Squirting Dildo Vibrator | 喷射震动棒,1,0,visible,Realistic squirting with vibration | 逼真喷射震动,Includes squeeze bulb 7 modes,taxable,,1,99,0,0,0.20,179.00,239.00,Vibrators | 震动器,vib-017,16
,simple,VIB-018,Tongue Vibrator | 舌形震动器,1,0,visible,Tongue-shaped oral simulator | 舌形口交模拟,Realistic movements 10 modes,taxable,,1,99,0,0,0.20,109.00,149.00,Vibrators | 震动器,vib-018,17
,simple,VIB-019,Butterfly Vibrator | 蝴蝶震动器,1,0,visible,Butterfly hands-free vibrator | 蝴蝶免手持,Adjustable straps 10 modes,taxable,,1,99,0,0,0.20,119.00,159.00,Vibrators | 震动器,vib-019,18
,simple,VIB-020,Glass Vibrator | 玻璃震动棒,1,0,visible,Borosilicate glass vibrator | 硼硅酸盐玻璃震动棒,Temperature play body-safe,taxable,,1,99,0,0,0.20,139.00,189.00,Vibrators | 震动器,vib-020,19
,simple,DIL-001,Realistic Silicone Dildo | 逼真硅胶假阳具,1,0,visible,Ultra-realistic silicone | 超逼真硅胶,Platinum silicone suction cup,taxable,,1,99,0,0,0.20,89.00,129.00,Dildos | 假阳具,dil-001,20
,simple,DIL-002,Double-Ended Dildo | 双头假阳具,1,0,visible,Flexible double-ended | 柔韧双头,Solo or couples 45cm,taxable,,1,99,0,0,0.20,99.00,149.00,Dildos | 假阳具,dil-002,21
,simple,DIL-003,Curved G-Spot Dildo | G点弯曲假阳具,1,0,visible,Precisely curved G-spot | 精准G点,Premium silicone 7 inch,taxable,,1,99,0,0,0.20,79.00,119.00,Dildos | 假阳具,dil-003,22
,simple,DIL-004,Huge XXL Dildo | 超大XXL假阳具,1,0,visible,Extra large for advanced | 高级用户超大,Body-safe silicone suction cup,taxable,,1,99,0,0,0.20,149.00,199.00,Dildos | 假阳具,dil-004,23
,simple,DIL-005,Strapless Strap-On | 无绑带穿戴假阳具,1,0,visible,Innovative strapless strap-on | 无绑带穿戴,Worn internally no harness,taxable,,1,99,0,0,0.20,159.00,219.00,Dildos | 假阳具,dil-005,24
,simple,DIL-006,Vibrating Dildo | 震动假阳具,1,0,visible,Realistic dildo with vibration | 带震动假阳具,10 modes USB rechargeable,taxable,,1,99,0,0,0.20,119.00,169.00,Dildos | 假阳具,dil-006,25
,simple,DIL-007,Glass Dildo | 玻璃假阳具,1,0,visible,Elegant borosilicate glass | 优雅玻璃,Temperature play body-safe,taxable,,1,99,0,0,0.20,109.00,149.00,Dildos | 假阳具,dil-007,26
